מדינה,טווח Hex (התחלה - סוף),קידומת לחיפוש מהיר
איראן,730000 - 737FFF,"730, 731... עד 737"
סוריה,778000 - 77FFFF,778 עד 77F
לבנון,748000 - 74FFFF,748 עד 74F
עיראק,728000 - 72FFFF,728 עד 72F
תימן,890000 - 890FFF,890
פקיסטן,760000 - 767FFF,760 עד 767
לוב,018000 - 01FFFF,018 עד 01F
אלג'יריה,0A0000 - 0A7FFF,0A0 עד 0A7
אפגניסטן,700000 - 700FFF,700
צפון קוריאה,720000 - 727FFF,720 עד 727
